Sex,Length,Diameter,Height,Whole.weight,Shucked.weight,Viscera.weight,Shell.weight,Rings
F,0.675,0.545,0.16,1.566,0.699,0.3055,0.354,11+
F,0.71,0.565,0.195,1.601,0.708,0.375,0.471,11+
M,0.37,0.29,0.105,0.25,0.111,0.0545,0.08,9
M,0.51,0.41,0.145,0.8175,0.345,0.1715,0.2455,11+
M,0.475,0.355,0.1,0.4795,0.2205,0.103,0.1335,9
M,0.64,0.5,0.175,1.297,0.618,0.312,0.32,11+
M,0.51,0.405,0.145,0.751,0.3295,0.17,0.185,1-8
M,0.455,0.365,0.135,0.462,0.132,0.125,0.2305,1-8
I,0.42,0.32,0.115,0.376,0.1865,0.0715,0.095,1-8
M,0.425,0.34,0.125,0.4405,0.169,0.126,0.12,10
F,0.545,0.44,0.175,0.9955,0.2585,0.2325,0.325,11+
F,0.645,0.49,0.16,1.2465,0.63,0.276,0.3,11+
M,0.61,0.46,0.16,0.923,0.3445,0.2185,0.2675,11+
M,0.62,0.505,0.215,1.521,0.5495,0.332,0.34,1-8
F,0.62,0.465,0.14,1.195,0.643,0.1945,0.3145,9
F,0.45,0.36,0.115,0.457,0.1675,0.0855,0.144,9
I,0.205,0.15,0.045,0.0435,0.0255,0.006,0.013,1-8
I,0.49,0.4,0.12,0.602,0.2385,0.108,0.179,1-8
F,0.635,0.485,0.145,1.1,0.5115,0.242,0.305,11+
M,0.65,0.52,0.19,1.6275,0.587,0.3655,0.485,11+
M,0.385,0.315,0.105,0.2665,0.0895,0.0785,0.09,11+
I,0.545,0.43,0.16,0.738,0.307,0.172,0.1825,1-8
M,0.505,0.39,0.115,0.6175,0.261,0.1345,0.22,11+
I,0.355,0.275,0.11,0.2455,0.095,0.057,0.07,1-8
M,0.595,0.485,0.14,0.776,0.318,0.2,0.22,9
M,0.57,0.42,0.17,1.48,0.5855,0.331,0.4115,11+
I,0.4,0.315,0.1,0.2665,0.1185,0.0605,0.085,9
M,0.52,0.435,0.15,0.872,0.2855,0.1655,0.335,11+
M,0.505,0.365,0.15,0.968,0.456,0.199,0.275,11+
F,0.475,0.36,0.15,0.501,0.2125,0.1365,0.145,10
F,0.575,0.46,0.175,1.094,0.391,0.217,0.38,11+
I,0.4,0.31,0.09,0.33,0.151,0.0715,0.095,1-8
M,0.525,0.405,0.13,0.7185,0.3265,0.1585,0.21,10
I,0.36,0.285,0.1,0.2235,0.0955,0.0405,0.0725,1-8
M,0.495,0.385,0.125,0.556,0.253,0.104,0.1585,10
I,0.625,0.43,0.145,0.9205,0.3895,0.1975,0.2675,9
F,0.72,0.58,0.195,1.9525,0.8045,0.4565,0.51,11+
M,0.44,0.365,0.135,0.476,0.1865,0.106,0.17,11+
I,0.475,0.365,0.105,0.1315,0.106,0.0585,0.075,9
I,0.475,0.375,0.11,0.468,0.2025,0.0805,0.135,1-8
I,0.42,0.305,0.12,0.336,0.168,0.09,0.0945,1-8
M,0.565,0.44,0.15,0.8645,0.3475,0.196,0.2765,10
M,0.51,0.405,0.145,0.695,0.207,0.17,0.25,11+
I,0.28,0.205,0.075,0.1185,0.052,0.0285,0.03,1-8
F,0.48,0.4,0.125,0.759,0.219,0.156,0.295,11+
M,0.605,0.445,0.16,1.057,0.4775,0.235,0.3,10
M,0.535,0.405,0.175,0.98,0.3835,0.2815,0.325,11+
M,0.62,0.465,0.17,1.082,0.5005,0.2355,0.315,10
I,0.44,0.33,0.135,0.4095,0.1365,0.1015,0.119,1-8
F,0.62,0.48,0.17,1.0165,0.5325,0.246,0.228,1-8
M,0.155,0.095,0.035,0.018,0.005,0.0025,0.005,1-8
M,0.62,0.48,0.165,1.1325,0.4995,0.2765,0.321,10
F,0.51,0.375,0.11,0.6765,0.29,0.149,0.18,11+
I,0.305,0.225,0.09,0.1295,0.05,0.0285,0.045,1-8
M,0.625,0.47,0.145,1.1005,0.455,0.245,0.348,11+
I,0.41,0.31,0.09,0.279,0.1255,0.051,0.0765,1-8
F,0.42,0.33,0.095,0.3295,0.1315,0.0735,0.105,9
I,0.465,0.38,0.12,0.4705,0.196,0.1065,0.12,1-8
I,0.54,0.43,0.17,0.912,0.336,0.195,0.29,11+
F,0.71,0.575,0.24,2.1,0.8105,0.49,0.5215,9
M,0.36,0.27,0.1,0.2255,0.0945,0.0465,0.075,1-8
F,0.66,0.515,0.18,1.389,0.5885,0.3725,0.37,10
M,0.33,0.25,0.09,0.2005,0.0775,0.0435,0.0495,1-8
F,0.615,0.49,0.19,1.145,0.59,0.261,0.287,9
F,0.625,0.42,0.165,0.9845,0.4255,0.1505,0.385,11+
M,0.275,0.2,0.07,0.084,0.031,0.0195,0.03,1-8
I,0.275,0.2,0.075,0.099,0.0415,0.0255,0.03,1-8
M,0.57,0.455,0.15,1.195,0.5225,0.2575,0.343,10
F,0.545,0.4,0.135,0.891,0.446,0.1915,0.0995,9
F,0.44,0.34,0.13,0.4035,0.154,0.081,0.135,10
M,0.645,0.51,0.155,1.2275,0.48,0.244,0.325,11+
I,0.62,0.485,0.165,0.9995,0.345,0.199,0.31,11+
M,0.575,0.475,0.16,1.041,0.414,0.26,0.295,11+
M,0.635,0.5,0.18,1.29,0.5775,0.2675,0.367,9
I,0.46,0.35,0.105,0.4155,0.1695,0.087,0.125,1-8
M,0.38,0.3,0.1,0.265,0.1145,0.06,0.08,11+
M,0.59,0.46,0.14,1.063,0.4985,0.2445,0.3005,1-8
I,0.445,0.33,0.1,0.378,0.192,0.0755,0.11,1-8
M,0.525,0.38,0.135,0.681,0.294,0.157,0.18,11+
M,0.66,0.5,0.165,1.3385,0.657,0.294,0.355,11+
F,0.64,0.5,0.165,1.5175,0.686,0.302,0.409,11+
M,0.7,0.55,0.2,1.4685,0.8735,0.318,0.405,11+
M,0.625,0.5,0.14,1.147,0.5265,0.2305,0.335,11+
M,0.59,0.46,0.14,1.063,0.4985,0.2465,0.2565,10
F,0.525,0.43,0.135,0.812,0.305,0.187,0.25,11+
M,0.665,0.54,0.19,1.759,0.876,0.2975,0.4895,10
M,0.67,0.525,0.175,1.247,0.586,0.2755,0.37,10
F,0.645,0.49,0.15,1.2215,0.4625,0.2305,0.325,11+
I,0.295,0.225,0.065,0.1365,0.063,0.028,0.033,1-8
F,0.51,0.39,0.105,0.646,0.2945,0.155,0.161,1-8
F,0.575,0.45,0.165,0.9645,0.4615,0.232,0.265,10
F,0.52,0.41,0.155,0.842,0.394,0.201,0.229,1-8
M,0.33,0.25,0.075,0.1635,0.05,0.04,0.09,9
I,0.56,0.445,0.145,0.8445,0.375,0.196,0.2705,9
M,0.645,0.515,0.15,1.25,0.4105,0.257,0.41,11+
F,0.615,0.495,0.19,1.1085,0.403,0.2145,0.365,11+
I,0.22,0.15,0.045,0.0385,0.0135,0.008,0.01,1-8
I,0.56,0.425,0.15,0.755,0.304,0.21,0.25,10
I,0.565,0.465,0.18,0.8015,0.336,0.1585,0.224,10
M,0.5,0.385,0.125,0.649,0.289,0.1365,0.175,9
I,0.55,0.4,0.135,0.5945,0.261,0.1265,0.169,1-8
F,0.645,0.525,0.19,1.3455,0.546,0.2555,0.415,11+
I,0.28,0.21,0.08,0.106,0.0415,0.024,0.034,1-8
M,0.66,0.53,0.17,1.197,0.492,0.2955,0.365,11+
F,0.64,0.5,0.175,1.273,0.512,0.3065,0.42,11+
I,0.435,0.345,0.125,0.4075,0.171,0.063,0.1195,9
I,0.475,0.365,0.12,0.5915,0.25,0.126,0.172,1-8
I,0.525,0.41,0.15,0.944,0.497,0.2015,0.2185,1-8
I,0.625,0.485,0.19,1.3325,0.6235,0.2715,0.462,11+
I,0.38,0.27,0.085,0.2295,0.0975,0.0405,0.0655,1-8
F,0.605,0.485,0.16,1.153,0.444,0.265,0.425,11+
M,0.57,0.45,0.14,0.971,0.544,0.1815,0.218,9
M,0.63,0.515,0.175,1.1955,0.492,0.2955,0.3995,11+
M,0.595,0.47,0.155,1.0155,0.4635,0.1945,0.2925,9
F,0.605,0.495,0.18,1.213,0.707,0.274,0.3,10
I,0.375,0.29,0.1,0.257,0.108,0.061,0.07,10
M,0.565,0.425,0.16,0.93,0.3605,0.213,0.295,10
F,0.525,0.39,0.14,0.5755,0.2325,0.161,0.177,11+
M,0.52,0.395,0.135,1.007,0.494,0.2225,0.2835,10
I,0.565,0.435,0.15,0.755,0.304,0.181,0.235,10
M,0.41,0.315,0.125,0.3915,0.171,0.087,0.125,11+
M,0.58,0.475,0.12,0.925,0.431,0.1715,0.268,11+
M,0.47,0.37,0.135,0.5795,0.2145,0.1495,0.19,11+
F,0.345,0.25,0.095,0.181,0.0825,0.048,0.055,10
M,0.475,0.355,0.14,0.522,0.2425,0.1615,0.1465,1-8
F,0.56,0.455,0.16,0.86,0.3145,0.1785,0.325,11+
M,0.35,0.265,0.09,0.198,0.0715,0.059,0.06,9
M,0.725,0.57,0.18,2.069,0.9895,0.4405,0.48,11+
F,0.685,0.525,0.205,1.463,0.6,0.379,0.42,11+
F,0.53,0.43,0.14,0.742,0.2995,0.186,0.19,10
M,0.62,0.475,0.225,1.467,0.496,0.3345,0.51,11+
I,0.275,0.2,0.065,0.092,0.034,0.0235,0.029,1-8
I,0.545,0.435,0.14,0.7995,0.3485,0.171,0.245,11+
M,0.275,0.195,0.075,0.086,0.0345,0.02,0.0245,1-8
F,0.67,0.53,0.185,1.3955,0.5885,0.354,0.37,10
M,0.575,0.47,0.165,1.114,0.4495,0.2115,0.345,11+
I,0.42,0.315,0.095,0.339,0.168,0.0665,0.0865,1-8
F,0.595,0.435,0.155,1.012,0.437,0.196,0.2925,10
F,0.67,0.525,0.21,1.498,0.526,0.337,0.4,11+
F,0.65,0.525,0.19,1.4995,0.664,0.2995,0.513,11+
F,0.66,0.535,0.175,1.2895,0.6035,0.322,0.326,10
M,0.605,0.47,0.18,1.242,0.5575,0.287,0.34,9
I,0.42,0.32,0.11,0.376,0.1555,0.084,0.12,9
M,0.58,0.46,0.18,0.9075,0.3595,0.221,0.29,1-8
F,0.49,0.38,0.12,0.6245,0.259,0.16,0.175,9
I,0.435,0.33,0.12,0.411,0.2015,0.0945,0.0885,1-8
M,0.49,0.395,0.14,0.592,0.2135,0.141,0.185,1-8
I,0.3,0.22,0.09,0.1255,0.06,0.0265,0.035,1-8
M,0.63,0.51,0.175,1.2125,0.603,0.274,0.3,11+
F,0.44,0.34,0.11,0.344,0.1315,0.0755,0.113,11+
M,0.565,0.44,0.175,0.873,0.3605,0.217,0.245,11+
F,0.5,0.44,0.155,0.8425,0.412,0.2,0.23,9
M,0.515,0.385,0.165,0.791,0.285,0.1455,0.295,11+
F,0.59,0.44,0.125,0.8725,0.4405,0.1975,0.23,9
F,0.675,0.555,0.195,1.7375,0.585,0.305,0.525,11+
I,0.66,0.53,0.195,1.5175,0.7635,0.3025,0.374,11+
F,0.595,0.5,0.185,1.0575,0.4095,0.244,0.317,11+
I,0.355,0.27,0.09,0.204,0.082,0.034,0.058,1-8
M,0.565,0.425,0.135,0.852,0.461,0.163,0.213,9
I,0.36,0.27,0.1,0.2965,0.095,0.0395,0.115,1-8
F,0.55,0.43,0.135,0.7545,0.348,0.174,0.2325,1-8
F,0.575,0.435,0.14,0.8775,0.3795,0.183,0.2765,9
F,0.64,0.48,0.2,1.3235,0.6395,0.2665,0.357,9
M,0.515,0.395,0.12,0.653,0.285,0.1545,0.175,1-8
I,0.35,0.25,0.07,0.1695,0.0745,0.0365,0.05,1-8
I,0.335,0.25,0.095,0.1745,0.081,0.038,0.055,1-8
I,0.425,0.34,0,0.4425,0.2065,0.074,0.1195,9
M,0.47,0.35,0.105,0.4535,0.2,0.111,0.1165,1-8
I,0.51,0.405,0.13,0.5825,0.222,0.131,0.18,9
M,0.625,0.485,0.165,1.199,0.417,0.302,0.3475,11+
F,0.505,0.375,0.13,0.681,0.2565,0.18,0.195,11+
F,0.695,0.55,0.16,1.6365,0.8715,0.369,0.391,11+
M,0.575,0.45,0.155,0.8725,0.3725,0.2095,0.255,11+
F,0.72,0.56,0.21,2.226,0.9915,0.405,0.585,11+
M,0.65,0.52,0.19,1.676,0.8115,0.4205,0.4435,9
I,0.52,0.415,0.14,0.6385,0.2945,0.1335,0.155,11+
I,0.445,0.355,0.13,0.406,0.1145,0.0765,0.1515,1-8
M,0.485,0.41,0.13,0.662,0.2945,0.133,0.22,11+
F,0.685,0.565,0.185,1.787,0.7465,0.3725,0.4975,11+
M,0.655,0.52,0.21,1.548,0.7345,0.3735,0.4405,10
F,0.585,0.455,0.165,0.976,0.3135,0.234,0.325,11+
F,0.55,0.43,0.18,1.1655,0.3905,0.2635,0.395,11+
F,0.56,0.435,0.15,0.8715,0.4675,0.171,0.215,10
F,0.465,0.35,0.115,0.458,0.1635,0.0885,0.145,1-8
F,0.505,0.39,0.115,0.6175,0.262,0.1225,0.1935,11+
I,0.315,0.235,0.07,0.152,0.065,0.0385,0.0505,1-8
I,0.52,0.395,0.13,0.633,0.3265,0.129,0.169,1-8
M,0.62,0.48,0.15,1.234,0.6345,0.192,0.33,10
I,0.5,0.38,0.135,0.5285,0.226,0.1405,0.162,1-8
F,0.53,0.42,0.135,0.6295,0.1815,0.157,0.22,11+
M,0.6,0.48,0.155,1.1405,0.565,0.2555,0.245,9
I,0.54,0.42,0.13,0.664,0.288,0.131,0.25,1-8
M,0.585,0.45,0.175,0.9325,0.3505,0.234,0.305,11+
I,0.305,0.245,0.09,0.127,0.048,0.034,0.04,1-8
M,0.74,0.59,0.195,1.88,0.954,0.427,0.446,11+
M,0.54,0.425,0.12,0.805,0.3415,0.166,0.1775,1-8
I,0.53,0.4,0.145,0.6955,0.3025,0.1305,0.2,10
I,0.43,0.32,0.1,0.425,0.217,0.085,0.1155,9
M,0.645,0.49,0.14,1.1965,0.5565,0.231,0.346,11+
I,0.37,0.275,0.1,0.27,0.115,0.06,0.085,1-8
M,0.74,0.555,0.22,2.333,1.1565,0.3645,0.7975,11+
I,0.365,0.27,0.085,0.196,0.082,0.0325,0.053,1-8
I,0.53,0.425,0.14,0.781,0.346,0.179,0.24,10
F,0.705,0.545,0.13,1.556,0.671,0.374,0.3815,10
I,0.39,0.29,0.095,0.2875,0.1155,0.0725,0.0885,1-8
M,0.49,0.38,0.155,0.573,0.225,0.124,0.206,11+
F,0.555,0.43,0.14,0.8105,0.4055,0.166,0.275,9
I,0.35,0.27,0.085,0.215,0.082,0.0455,0.058,1-8
F,0.57,0.47,0.155,0.869,0.349,0.2045,0.25,10
I,0.575,0.44,0.125,0.7745,0.3275,0.1415,0.213,9
F,0.43,0.34,0.13,0.4075,0.1555,0.081,0.132,10
F,0.455,0.37,0.125,0.5735,0.3245,0.1025,0.14,1-8
I,0.44,0.35,0.12,0.4035,0.175,0.071,0.1195,1-8
I,0.285,0.205,0.06,0.106,0.039,0.0265,0.035,1-8
M,0.285,0.23,0.075,0.118,0.043,0.0285,0.0415,1-8
F,0.51,0.375,0.115,0.554,0.226,0.1075,0.19,11+
I,0.405,0.3,0.09,0.301,0.131,0.057,0.0935,1-8
F,0.45,0.36,0.11,0.4585,0.2035,0.099,0.145,9
M,0.545,0.45,0.13,0.8075,0.264,0.1875,0.2615,11+
F,0.575,0.48,0.15,0.9465,0.4005,0.284,0.2365,1-8
I,0.285,0.215,0.07,0.1015,0.037,0.041,0.0385,1-8
F,0.61,0.43,0.175,1.411,0.659,0.297,0.462,11+
I,0.435,0.34,0.12,0.3925,0.1925,0.07,0.115,1-8
M,0.675,0.525,0.2,1.478,0.5815,0.3025,0.435,11+
F,0.615,0.5,0.175,1.15,0.513,0.2475,0.385,11+
M,0.525,0.425,0.125,0.8665,0.4515,0.17,0.2125,9
M,0.61,0.46,0.15,0.923,0.4615,0.1765,0.254,9
F,0.63,0.48,0.185,1.115,0.4445,0.3195,0.304,11+
F,0.57,0.44,0.16,0.8295,0.402,0.1735,0.204,9
M,0.645,0.485,0.155,1.4415,0.6485,0.2655,0.505,11+
I,0.47,0.345,0.18,0.5365,0.1725,0.123,0.195,1-8
I,0.48,0.37,0.125,0.474,0.1815,0.076,0.155,9
F,0.64,0.515,0.18,1.382,0.5845,0.3515,0.3885,10
I,0.445,0.36,0.11,0.415,0.215,0.0765,0.13,9
I,0.34,0.255,0.09,0.179,0.08,0.035,0.06,1-8
M,0.56,0.425,0.1,0.932,0.4325,0.171,0.259,10
I,0.5,0.375,0.125,0.5495,0.229,0.098,0.195,11+
M,0.605,0.48,0.165,1.1245,0.4605,0.222,0.341,9
I,0.43,0.345,0.12,0.406,0.2055,0.0655,0.109,1-8
F,0.625,0.49,0.165,1.115,0.509,0.2785,0.339,9
I,0.445,0.345,0.12,0.3615,0.1415,0.0825,0.12,11+
I,0.42,0.31,0.115,0.409,0.1815,0.0945,0.1175,11+
M,0.6,0.475,0.175,1.088,0.4955,0.2475,0.3345,10
M,0.5,0.38,0.15,0.66,0.2655,0.179,0.215,11+
M,0.63,0.47,0.17,1.136,0.5235,0.257,0.339,10
M,0.485,0.355,0.16,0.968,0.465,0.199,0.275,1-8
I,0.42,0.315,0.1,0.2805,0.1145,0.0615,0.085,1-8
I,0.335,0.26,0.08,0.1885,0.081,0.036,0.058,1-8
M,0.61,0.475,0.17,1.024,0.497,0.2205,0.279,9
I,0.46,0.345,0.11,0.449,0.193,0.089,0.125,1-8
F,0.55,0.445,0.155,0.9155,0.2775,0.212,0.263,11+
M,0.615,0.455,0.15,0.9605,0.486,0.1715,0.2655,1-8
I,0.42,0.31,0.1,0.33,0.181,0.045,0.087,1-8
M,0.53,0.41,0.165,0.8565,0.3485,0.156,0.2875,9
M,0.56,0.445,0.14,1.02,0.5265,0.164,0.25,1-8
F,0.675,0.53,0.205,1.4985,0.664,0.3905,0.4645,11+
M,0.4,0.305,0.1,0.2605,0.1,0.061,0.085,11+
F,0.505,0.39,0.125,0.5805,0.251,0.123,0.157,1-8
M,0.65,0.515,0.215,1.5535,0.713,0.298,0.466,11+
M,0.565,0.445,0.145,0.9055,0.404,0.21,0.255,9
I,0.45,0.335,0.125,0.3715,0.1555,0.075,0.117,1-8
I,0.52,0.41,0.14,0.6615,0.2635,0.163,0.21,11+
I,0.27,0.2,0.075,0.117,0.0465,0.024,0.034,1-8
F,0.5,0.375,0.115,0.6065,0.3065,0.119,0.15,1-8
F,0.635,0.505,0.19,1.235,0.469,0.3115,0.365,11+
F,0.475,0.375,0.14,0.547,0.1685,0.1325,0.185,11+
F,0.625,0.49,0.19,1.1745,0.378,0.27,0.385,11+
M,0.58,0.45,0.145,0.9835,0.462,0.2025,0.277,10
I,0.285,0.215,0.075,0.099,0.0425,0.0255,0.035,1-8
F,0.575,0.445,0.145,0.883,0.381,0.1835,0.28,9
I,0.305,0.225,0.07,0.1445,0.066,0.042,0.045,1-8
M,0.51,0.4,0.13,0.6905,0.327,0.142,0.185,1-8
M,0.495,0.415,0.165,0.8085,0.241,0.1815,0.275,11+
I,0.435,0.335,0.11,0.3795,0.1865,0.092,0.105,1-8
I,0.43,0.34,0,0.3405,0.1555,0.0775,0.1135,1-8
F,0.7,0.575,0.205,1.719,0.7755,0.492,0.3865,11+
F,0.615,0.475,0.155,1.1135,0.531,0.2405,0.3,11+
I,0.51,0.4,0.145,0.7165,0.3045,0.184,0.223,11+
M,0.355,0.295,0.13,0.27,0.1185,0.062,0.08,9
I,0.45,0.335,0.105,0.448,0.188,0.089,0.123,11+
I,0.605,0.47,0.17,1.1405,0.4815,0.2475,0.315,11+
I,0.27,0.19,0.06,0.092,0.0345,0.021,0.025,1-8
I,0.37,0.28,0.095,0.2225,0.095,0.0465,0.0725,1-8
F,0.52,0.41,0.17,0.8565,0.295,0.1685,0.32,11+
M,0.5,0.39,0.15,0.6815,0.2655,0.103,0.2,11+
M,0.505,0.405,0.125,0.6725,0.3125,0.1295,0.17,10
M,0.38,0.235,0.115,0.3175,0.109,0.084,0.0875,1-8
F,0.675,0.52,0.165,1.707,0.595,0.305,0.477,11+
F,0.78,0.65,0.25,2.555,1.0705,0.472,0.6785,11+
M,0.235,0.175,0.04,0.0665,0.025,0.012,0.018,1-8
F,0.555,0.44,0.135,0.8815,0.3545,0.2105,0.265,9
M,0.465,0.375,0.13,0.6,0.264,0.1435,0.175,11+
F,0.63,0.495,0.155,1.217,0.535,0.2575,0.315,9
F,0.6,0.46,0.14,0.799,0.3615,0.1795,0.239,10
M,0.63,0.5,0.18,1.383,0.6465,0.306,0.31,11+
M,0.6,0.475,0.23,1.3445,0.5065,0.2875,0.515,11+
I,0.375,0.285,0.08,0.244,0.115,0.041,0.0725,1-8
I,0.41,0.325,0.105,0.3245,0.13,0.075,0.106,1-8
F,0.62,0.475,0.135,0.97,0.419,0.1975,0.32,11+
I,0.635,0.505,0.18,1.3035,0.4335,0.266,0.465,11+
I,0.435,0.34,0.1,0.397,0.1775,0.068,0.125,9
I,0.63,0.485,0.17,1.217,0.535,0.2735,0.3375,9
I,0.44,0.35,0.165,0.4085,0.175,0.0855,0.117,9
I,0.575,0.455,0.18,0.8735,0.3305,0.2145,0.205,11+
F,0.585,0.455,0.13,0.9865,0.486,0.207,0.2515,9
M,0.6,0.46,0.17,1.14,0.4535,0.256,0.39,10
M,0.59,0.49,0.135,1.1335,0.586,0.239,0.245,9
F,0.61,0.475,0.155,1.1155,0.5195,0.2575,0.309,9
M,0.495,0.38,0.14,0.59,0.2385,0.1375,0.185,9
I,0.285,0.225,0.07,0.1015,0.041,0.0285,0.032,1-8
M,0.46,0.355,0.12,0.4885,0.2005,0.133,0.16,11+
I,0.55,0.435,0.165,0.8075,0.3475,0.171,0.25,11+
I,0.255,0.185,0.065,0.071,0.0285,0.018,0.023,1-8
I,0.165,0.12,0.03,0.0195,0.009,0.0045,0.005,1-8
F,0.665,0.53,0.195,1.3485,0.5305,0.2555,0.465,10
M,0.485,0.365,0.13,0.526,0.2485,0.117,0.16,1-8
F,0.505,0.405,0.135,0.6735,0.261,0.124,0.23,10
M,0.575,0.475,0.16,0.9975,0.483,0.242,0.2515,9
I,0.5,0.395,0.105,0.565,0.2695,0.117,0.1585,10
M,0.67,0.525,0.175,1.4775,0.5815,0.279,0.4395,10
F,0.575,0.45,0.17,1.0475,0.4315,0.2345,0.315,10
F,0.29,0.225,0.08,0.14,0.0585,0.0305,0.048,1-8
I,0.11,0.11,0.05,0.014,0.0075,0.0045,0.006,1-8
F,0.575,0.425,0.125,0.6975,0.2115,0.1575,0.225,1-8
M,0.585,0.45,0.155,0.8915,0.3935,0.1485,0.249,10
M,0.61,0.45,0.16,1.081,0.4995,0.3015,0.274,10
F,0.415,0.305,0.12,0.3185,0.124,0.07,0.094,1-8
M,0.535,0.435,0.15,0.6995,0.215,0.1365,0.265,11+
M,0.59,0.45,0.14,0.982,0.486,0.184,0.2655,10
M,0.59,0.46,0.15,0.98,0.4505,0.2055,0.286,1-8
I,0.53,0.42,0.13,0.752,0.3595,0.1325,0.209,1-8
M,0.58,0.46,0.195,1.055,0.425,0.2245,0.31,11+
M,0.57,0.44,0.145,0.8815,0.3345,0.2145,0.265,11+
I,0.395,0.31,0.1,0.287,0.1045,0.071,0.1135,1-8
I,0.325,0.24,0.07,0.151,0.058,0.0225,0.0425,1-8
F,0.465,0.39,0.13,0.482,0.1905,0.0845,0.142,11+
I,0.425,0.325,0.1,0.4665,0.2745,0.082,0.1075,1-8
I,0.62,0.45,0.125,0.924,0.419,0.1605,0.26,11+
I,0.68,0.54,0.195,1.807,0.758,0.3935,0.455,11+
M,0.45,0.35,0.115,0.458,0.206,0.0885,0.1465,10
I,0.475,0.35,0.125,0.4865,0.21,0.144,0.125,1-8
F,0.71,0.53,0.195,1.9045,0.6755,0.4185,0.557,11+
F,0.53,0.44,0.125,0.7225,0.3205,0.159,0.189,9
I,0.405,0.3,0.09,0.282,0.141,0.0625,0.0765,1-8
I,0.515,0.36,0.12,0.4775,0.234,0.0885,0.1335,1-8
I,0.38,0.285,0.09,0.237,0.1075,0.038,0.07,1-8
I,0.32,0.215,0.07,0.1695,0.0835,0.035,0.041,1-8
M,0.66,0.515,0.2,1.4385,0.6295,0.3845,0.378,11+
F,0.61,0.47,0.16,1.309,0.604,0.343,0.326,11+
F,0.6,0.48,0.145,1.0305,0.457,0.24,0.27,11+
I,0.435,0.345,0.12,0.407,0.1685,0.087,0.125,1-8
I,0.475,0.355,0.125,0.4905,0.229,0.11,0.135,1-8
M,0.425,0.33,0.08,0.322,0.1305,0.048,0.103,1-8
F,0.6,0.5,0.185,1.1145,0.4445,0.254,0.315,11+
F,0.61,0.49,0.21,0.9615,0.4145,0.1865,0.27,11+
I,0.505,0.395,0.185,0.568,0.1935,0.1325,0.1685,1-8
F,0.685,0.545,0.185,1.596,0.5125,0.4565,0.62,11+
F,0.72,0.565,0.205,2.226,0.9915,0.418,0.404,10
F,0.615,0.475,0.165,1.0105,0.543,0.246,0.3,11+
M,0.725,0.55,0.22,2.0495,0.7245,0.4095,0.885,11+
M,0.235,0.175,0.055,0.058,0.0215,0.015,0.019,1-8
I,0.275,0.2,0.075,0.1225,0.052,0.0285,0.03,1-8
M,0.445,0.345,0.14,0.5905,0.215,0.164,0.2,11+
I,0.37,0.29,0.1,0.241,0.1045,0.04,0.085,9
M,0.385,0.275,0.095,0.196,0.106,0.036,0.079,1-8
M,0.62,0.49,0.165,1.244,0.5475,0.374,0.36,11+
M,0.57,0.46,0.15,0.952,0.4915,0.1945,0.235,9
M,0.345,0.26,0.085,0.2,0.0785,0.034,0.07,10
M,0.625,0.48,0.185,1.1255,0.536,0.282,0.323,10
F,0.645,0.49,0.155,1.2205,0.4905,0.3865,0.365,11+
M,0.33,0.24,0.09,0.17,0.0655,0.051,0.05,1-8
M,0.545,0.42,0.125,0.879,0.413,0.239,0.213,11+
M,0.655,0.52,0.175,1.5365,0.5985,0.408,0.474,11+
F,0.705,0.53,0.19,1.6645,0.708,0.4805,0.498,11+
I,0.295,0.225,0.065,0.126,0.052,0.04,0.0315,1-8
M,0.425,0.325,0.08,0.38,0.1705,0.091,0.0985,9
F,0.38,0.305,0.105,0.2505,0.104,0.0575,0.0725,1-8
F,0.52,0.405,0.115,0.627,0.2555,0.144,0.177,1-8
M,0.565,0.43,0.15,0.8645,0.461,0.111,0.2,10
I,0.4,0.305,0.11,0.282,0.1125,0.0595,0.0945,1-8
F,0.595,0.485,0.15,1.11,0.4515,0.2825,0.335,1-8
F,0.655,0.53,0.195,1.492,0.7365,0.341,0.4355,9
I,0.55,0.4,0.145,0.6755,0.341,0.1385,0.182,1-8
I,0.335,0.255,0.08,0.1565,0.072,0.0255,0.0525,1-8
F,0.42,0.32,0.115,0.387,0.158,0.1005,0.12,10
M,0.625,0.48,0.185,1.36,0.6075,0.3005,0.353,9
F,0.53,0.455,0.15,0.9805,0.2815,0.2015,0.3,11+
I,0.32,0.235,0.06,0.161,0.0755,0.0645,0.039,1-8
I,0.34,0.255,0.085,0.183,0.077,0.041,0.063,1-8
I,0.3,0.23,0.095,0.1385,0.0605,0.034,0.045,1-8
I,0.595,0.46,0.14,0.9015,0.375,0.2145,0.29,11+
F,0.66,0.565,0.2,1.6645,0.7295,0.4285,0.471,11+
I,0.37,0.28,0.1,0.224,0.08,0.04,0.09,10
F,0.48,0.38,0.105,0.5805,0.2935,0.11,0.155,1-8
I,0.305,0.245,0.09,0.1455,0.0605,0.0365,0.045,1-8
F,0.605,0.47,0.165,1.052,0.498,0.241,0.305,10
I,0.46,0.34,0.11,0.346,0.123,0.073,0.113,1-8
I,0.55,0.415,0.155,0.8725,0.495,0.1915,0.205,9
F,0.585,0.415,0.165,0.811,0.3995,0.1705,0.202,11+
M,0.495,0.395,0.13,0.7815,0.4005,0.1915,0.2035,10
I,0.16,0.11,0.035,0.018,0.008,0.0045,0.004,1-8
F,0.58,0.425,0.14,0.849,0.3485,0.185,0.27,9
